Year,College,Total
2014,LN,47
2014,Engineering,10421
2014,iSchool,283
2014,Applied Life Sciences,0
2014,LAS,13430
2014,Social Work,634
2014,Education,3830
2014,Applied Health Sciences,2254
2014,Business,2701
2014,VetMed,553
2014,Aviation,3
2014,DGS,2649
2014,LM,0
2014,Fine and Applied Arts,2290
2014,Labor and Industrial Relations,208
2014,ACES,3096
2014,Law,582
2014,Graduate,69
2015,NB,1
2015,Media,515
2015,Medicine,0
2015,LN,52
2015,Engineering,10732
2015,iSchool,271
2015,Applied Life Sciences,0
2015,LAS,13450
2015,Social Work,673
2015,Education,3788
2015,Applied Health Sciences,2181
2015,Business,2844
2015,VetMed,567
2015,Aviation,0
2015,DGS,2790
2015,LM,0
2015,Fine and Applied Arts,2321
2015,Labor and Industrial Relations,186
2015,ACES,3060
2015,Law,580
2015,Graduate,76
2016,NB,12
2016,Media,506
2016,Medicine,0
2016,LN,46
2016,Engineering,11069
2016,iSchool,305
2016,Applied Life Sciences,0
2016,LAS,13651
2016,Social Work,712
2016,Education,3670
2016,Applied Health Sciences,2233
2016,Business,2865
2016,VetMed,598
2016,Aviation,0
2016,DGS,3000
2016,LM,0
2016,Fine and Applied Arts,2421
2016,Labor and Industrial Relations,186
2016,ACES,3006
2016,Law,530
2016,Graduate,70
2017,NB,4
2017,Media,460
2017,Medicine,0
2017,LN,299
2017,Engineering,11530
2017,iSchool,742
2017,Applied Life Sciences,0
2017,LAS,13946
2017,Social Work,772
2017,Education,3998
2017,Applied Health Sciences,2318
2017,Business,3859
2017,VetMed,609
2017,Aviation,0
2017,DGS,2867
2017,LM,0
2017,Fine and Applied Arts,2481
2017,Labor and Industrial Relations,258
2017,ACES,3070
2017,Law,545
2017,Graduate,68
2018,NB,3
2018,Media,488
2018,Medicine,32
2018,LN,399
2018,Engineering,11463
2018,iSchool,809
2018,Applied Life Sciences,0
2018,LAS,13952
2018,Social Work,788
2018,Education,4325
2018,Applied Health Sciences,2359
2018,Business,4783
2018,VetMed,627
2018,Aviation,0
2018,DGS,2962
2018,LM,0
2018,Fine and Applied Arts,2479
2018,Labor and Industrial Relations,251
2018,ACES,3072
2018,Law,487
2018,Graduate,60
